user_avater href,user_avater src,user_name,user_floor,time,item_content,address_vote,reply_num href,flower_num href,num,report href,smile src
https://www.mmbang.com/user/18738706,https://img03.mmbang.info/app/2020/03/10/656b9a81-b58e-423d-a3fd-122d3967e83e.jpg,平安一生211,1楼,2020-06-09 21:25,恭喜楼主如愿了，我也接个健康男宝宝，希望能如愿,潮南区,https://www.mmbang.com/bang/697/37701861#new_post,https://www.mmbang.com/bang/697/37701861#,24,https://www.mmbang.com/bang/697/37701861#post_report,
https://www.mmbang.com/user/17011133,https://img03.mmbang.info/app/2018/03/04/33a100b3-cd8a-4ee4-ad7f-3b2a6a7d4b47.jpg,7TYV6,2楼,2020-06-10 21:37,恭喜宝妈，接健康男宝，儿女双全,,https://www.mmbang.com/bang/697/37701861#new_post,https://www.mmbang.com/bang/697/37701861#,7,https://www.mmbang.com/bang/697/37701861#post_report,
https://www.mmbang.com/user/24992175,https://www.mmbang.info/imgs/user_48.gif,愿如意5fFNf,3楼,2020-06-11 11:47,祝宝妈如愿！,,https://www.mmbang.com/bang/697/37701861#new_post,https://www.mmbang.com/bang/697/37701861#,1,https://www.mmbang.com/bang/697/37701861#post_report,
https://www.mmbang.com/user/24992175,https://www.mmbang.info/imgs/user_48.gif,愿如意5fFNf,4楼,2020-06-11 11:47,祝宝妈如愿！,,https://www.mmbang.com/bang/697/37701861#new_post,https://www.mmbang.com/bang/697/37701861#,1,https://www.mmbang.com/bang/697/37701861#post_report,
https://www.mmbang.com/user/24394500,https://img03.mmbang.info/app/2020/05/11/89274669-b44c-43b6-96d4-9d98424aee61.jpg,帮小友1eM7g,5楼,2020-06-12 07:49,接男宝宝,潮阳区,https://www.mmbang.com/bang/697/37701861#new_post,https://www.mmbang.com/bang/697/37701861#,2,https://www.mmbang.com/bang/697/37701861#post_report,
https://www.mmbang.com/user/24992175,https://www.mmbang.info/imgs/user_48.gif,愿如意5fFNf,6楼,2020-06-12 08:16,祝宝妈如愿！,,https://www.mmbang.com/bang/697/37701861#new_post,https://www.mmbang.com/bang/697/37701861#,1,https://www.mmbang.com/bang/697/37701861#post_report,
https://www.mmbang.com/user/8208312,https://www.mmbang.info/imgs/user_48.gif,信凤1987,7楼,2020-06-12 18:24,恭喜，我也来接健康男宝,,https://www.mmbang.com/bang/697/37701861#new_post,https://www.mmbang.com/bang/697/37701861#,2,https://www.mmbang.com/bang/697/37701861#post_report,
https://www.mmbang.com/user/14130539,https://img03.mmbang.info/app/2020/06/22/a23f9981-fff6-4b33-a437-6814b98fdc15.jpg,愿意外能称心如意,8楼,2020-06-13 08:54,接健康男宝,社旗县,https://www.mmbang.com/bang/697/37701861#new_post,https://www.mmbang.com/bang/697/37701861#,1,https://www.mmbang.com/bang/697/37701861#post_report,
https://www.mmbang.com/user/25273544,https://www.mmbang.info/imgs/user_48.gif,萌萌哒Nbk7f,9楼,2020-06-13 09:09,接健康男宝,通州区,https://www.mmbang.com/bang/697/37701861#new_post,https://www.mmbang.com/bang/697/37701861#,1,https://www.mmbang.com/bang/697/37701861#post_report,
https://www.mmbang.com/user/24160135,https://www.mmbang.info/imgs/user_48.gif,旺鼠宝,10楼,2020-06-15 06:28,恭喜宝妈，诚接健康男宝,颍州区,https://www.mmbang.com/bang/697/37701861#new_post,https://www.mmbang.com/bang/697/37701861#,1,https://www.mmbang.com/bang/697/37701861#post_report,
